   1)               |  handle_mm_fault() {
   1)   0.173 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.046 us    |      _cond_resched();
   1)   0.459 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.066 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.160 us    |        get_task_policy.part.31();
   1)   0.748 us    |      }
   1)   0.039 us    |      policy_nodemask();
   1)   0.069 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.046 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.128 us    |          __inc_zone_state();
   1)   0.052 us    |          __inc_zone_state();
   1)   2.288 us    |        }
   1)   3.264 us    |      }
   1)   7.064 us    |    }
   1)               |    mem_cgroup_try_charge() {
   1)   0.143 us    |      get_mem_cgroup_from_mm();
   1)   0.172 us    |      try_charge();
   1)   1.272 us    |    }
   1)   0.203 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.150 us    |      __mod_node_page_state();
   1)   0.061 us    |      __page_set_anon_rmap();
   1)   1.292 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.257 us    |      mem_cgroup_charge_statistics();
   1)   0.072 us    |      memcg_check_events();
   1)   1.331 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.155 us    |      __lru_cache_add();
   1)   0.750 us    |    }
   1) + 18.358 us   |  }
   1)               |  /* wgz start call bigstack */
   1)               |  handle_mm_fault() {
   1)   0.119 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.049 us    |      _cond_resched();
   1)   0.451 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.168 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.066 us    |        get_task_policy.part.31();
   1)   0.717 us    |      }
   1)   0.042 us    |      policy_nodemask();
   1)   0.046 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.058 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.048 us    |          __inc_zone_state();
   1)   0.050 us    |          __inc_zone_state();
   1)   1.862 us    |        }
   1)   2.860 us    |      }
   1)   6.834 us    |    }
   1)               |    mem_cgroup_try_charge() {
   1)   0.671 us    |      get_mem_cgroup_from_mm();
   1)   0.056 us    |      try_charge();
   1)   1.603 us    |    }
   1)   0.103 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.072 us    |      __mod_node_page_state();
   1)   0.178 us    |      __page_set_anon_rmap();
   1)   1.101 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.177 us    |      mem_cgroup_charge_statistics();
   1)   0.053 us    |      memcg_check_events();
   1)   1.093 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.122 us    |      __lru_cache_add();
   1)   0.597 us    |    }
   1) + 15.564 us   |  }
   1)               |  /* wgz start malloc */
   1)               |  handle_mm_fault() {
   1)   0.085 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.045 us    |      _cond_resched();
   1)   0.600 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.121 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.151 us    |        get_task_policy.part.31();
   1)   0.634 us    |      }
   1)   0.054 us    |      policy_nodemask();
   1)   0.077 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.051 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.058 us    |          __inc_zone_state();
   1)   0.043 us    |          __inc_zone_state();
   1)   1.950 us    |        }
   1)   2.985 us    |      }
   1)   6.384 us    |    }
   1)               |    mem_cgroup_try_charge() {
   1)   0.069 us    |      get_mem_cgroup_from_mm();
   1)   0.092 us    |      try_charge();
   1)   1.117 us    |    }
   1)   0.092 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.063 us    |      __mod_node_page_state();
   1)   0.050 us    |      __page_set_anon_rmap();
   1)   1.075 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.103 us    |      mem_cgroup_charge_statistics();
   1)   0.060 us    |      memcg_check_events();
   1)   1.049 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.065 us    |      __lru_cache_add();
   1)   0.497 us    |    }
   1) + 15.028 us   |  }
   1)               |  handle_mm_fault() {
   1)   0.050 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.053 us    |      _cond_resched();
   1)   0.501 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.052 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.057 us    |        get_task_policy.part.31();
   1)   0.551 us    |      }
   1)   0.048 us    |      policy_nodemask();
   1)   0.055 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.047 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.051 us    |          __inc_zone_state();
   1)   0.058 us    |          __inc_zone_state();
   1)   1.679 us    |        }
   1)   2.538 us    |      }
   1)   6.487 us    |    }
