   1)               |  load_elf_binary() {
   1)               |    kmem_cache_alloc_trace() {
   1)   0.065 us    |      _cond_resched();
   1)   1.374 us    |    }
   1)               |    load_elf_phdrs() {
   1)               |      __kmalloc() {
   1)   0.051 us    |        kmalloc_slab();
   1)   0.042 us    |        _cond_resched();
   1)   1.258 us    |      }
   1)               |      kernel_read() {
   1)               |        vfs_read() {
   1)               |          rw_verify_area() {
   1)               |            security_file_permission() {
   1)               |              apparmor_file_permission() {
   1)               |                common_file_perm() {
   1)   0.077 us    |                  aa_file_perm();
   1)   0.649 us    |                }
   1)   1.028 us    |              }
   1)   0.105 us    |              __fsnotify_parent();
   1)   0.157 us    |              fsnotify();
   1)   3.224 us    |            }
   1)   3.686 us    |          }
   1)               |          __vfs_read() {
   1)               |            new_sync_read() {
   1)               |              generic_file_read_iter() {
   1)   0.043 us    |                _cond_resched();
   1)               |                pagecache_get_page() {
   1)   0.258 us    |                  find_get_entry();
   1)   0.652 us    |                }
   1)   0.071 us    |                mark_page_accessed();
   1)               |                touch_atime() {
   1)               |                  atime_needs_update() {
   1)               |                    current_fs_time() {
   1)   0.086 us    |                      current_kernel_time64();
   1)   0.061 us    |                      timespec_trunc();
   1)   0.906 us    |                    }
   1)   1.356 us    |                  }
   1)   1.796 us    |                }
   1)   4.591 us    |              }
   1)   5.521 us    |            }
   1)   5.945 us    |          }
   1)   0.051 us    |          __fsnotify_parent();
   1)   0.060 us    |          fsnotify();
   1) + 11.262 us   |        }
   1) + 11.677 us   |      }
   1) + 13.730 us   |    }
   1)               |    __kmalloc() {
   1)   0.077 us    |      kmalloc_slab();
   1)   0.052 us    |      _cond_resched();
   1)   0.937 us    |    }
   1)               |    kernel_read() {
   1)               |      vfs_read() {
   1)               |        rw_verify_area() {
   1)               |          security_file_permission() {
   1)               |            apparmor_file_permission() {
   1)               |              common_file_perm() {
   1)   0.048 us    |                aa_file_perm();
   1)   0.523 us    |              }
   1)   0.905 us    |            }
   1)   0.059 us    |            __fsnotify_parent();
   1)   0.049 us    |            fsnotify();
   1)   2.173 us    |          }
   1)   2.615 us    |        }
   1)               |        __vfs_read() {
   1)               |          new_sync_read() {
   1)               |            generic_file_read_iter() {
   1)   0.043 us    |              _cond_resched();
   1)               |              pagecache_get_page() {
   1)   0.080 us    |                find_get_entry();
   1)   0.505 us    |              }
   1)               |              touch_atime() {
   1)               |                atime_needs_update() {
   1)               |                  current_fs_time() {
   1)   0.047 us    |                    current_kernel_time64();
   1)   0.045 us    |                    timespec_trunc();
   1)   0.875 us    |                  }
   1)   1.266 us    |                }
   1)   1.666 us    |              }
   1)   3.453 us    |            }
   1)   3.896 us    |          }
   1)   4.309 us    |        }
   1)   0.044 us    |        __fsnotify_parent();
   1)   0.076 us    |        fsnotify();
   1)   8.611 us    |      }
   1)   8.982 us    |    }
   1)               |    open_exec() {
   1)               |      getname_kernel() {
   1)               |        kmem_cache_alloc() {
   1)   0.047 us    |          _cond_resched();
   1)   0.755 us    |        } /* kmem_cache_alloc */
   1)   1.294 us    |      }
   1)               |      do_open_execat() {
   1)               |        do_filp_open() {
   1)               |          path_openat() {
   1)               |            get_empty_filp() {
   1)               |              kmem_cache_alloc() {
   1)   0.040 us    |                _cond_resched();
   1)   0.627 us    |              }
   1)               |              security_file_alloc() {
   1)               |                apparmor_file_alloc_security() {
   1)               |                  kmem_cache_alloc_trace() {
   1)   0.045 us    |                    _cond_resched();
   1)   0.560 us    |                  }
   1)   1.001 us    |                }
   1)   1.464 us    |              }
   1)   0.055 us    |              __mutex_init();
   1)   3.494 us    |            }
   1)               |            path_init() {
   1)   0.146 us    |              set_root();
   1)   0.049 us    |              nd_jump_root();
   1)   1.055 us    |            }
   1)               |            link_path_walk() {
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.089 us    |                  generic_permission();
   1)   0.088 us    |                  security_inode_permission();
   1)   0.988 us    |                }
   1)   1.381 us    |              }
   1)               |              walk_component() {
   1)               |                lookup_fast() {
   1)   0.754 us    |                  __d_lookup_rcu();
   1)   1.174 us    |                  __lookup_mnt();
   1)   2.782 us    |                }
   1)   3.183 us    |              }
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.043 us    |                  generic_permission();
   1)   0.051 us    |                  security_inode_permission();
   1)   1.105 us    |                }
   1)   1.516 us    |              }
   1)   7.404 us    |            }
   1)               |            lookup_fast() {
   1)   0.521 us    |              __d_lookup_rcu();
   1)   1.101 us    |            }
   1)   0.048 us    |            pick_link();
   1)               |            trailing_symlink() {
   1)               |              atime_needs_update() {
   1)               |                current_fs_time() {
   1)   0.073 us    |                  current_kernel_time64();
   1)   0.054 us    |                  timespec_trunc();
   1)   0.870 us    |                }
   1)   1.336 us    |              }
   1)   0.054 us    |              security_inode_follow_link();
   1)   0.046 us    |              nd_jump_root();
   1)   3.060 us    |            }
   1)               |            link_path_walk() {
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.043 us    |                  generic_permission();
   1)   0.075 us    |                  security_inode_permission();
   1)   0.904 us    |                }
   1)   1.424 us    |              }
   1)               |              walk_component() {
   1)               |                lookup_fast() {
   1)   0.926 us    |                  __d_lookup_rcu();
   1)   0.196 us    |                  __lookup_mnt();
   1)   2.656 us    |                }
   1)   3.094 us    |              }
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.061 us    |                  generic_permission();
   1)   0.057 us    |                  security_inode_permission();
   1)   0.994 us    |                }
   1)   1.419 us    |              }
   1)               |              walk_component() {
   1)               |                lookup_fast() {
   1)   0.435 us    |                  __d_lookup_rcu();
   1)   0.893 us    |                }
   1)   1.323 us    |              }
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.062 us    |                  generic_permission();
   1)   0.060 us    |                  security_inode_permission();
   1)   1.070 us    |                }
   1)   1.467 us    |              }
   1) + 10.876 us   |            }
   1)               |            lookup_fast() {
   1)   0.369 us    |              __d_lookup_rcu();
   1)   0.772 us    |            }
   1)               |            complete_walk() {
   1)               |              unlazy_walk() {
   1)               |                legitimize_mnt() {
   1)   0.234 us    |                  __legitimize_mnt();
   1)   0.683 us    |                }
   1)   1.238 us    |              }
   1)   1.785 us    |            }
   1)               |            may_open() {
   1)               |              inode_permission() {
   1)               |                __inode_permission() {
   1)   0.044 us    |                  generic_permission();
   1)   0.057 us    |                  security_inode_permission();
   1)   1.101 us    |                }
   1)   1.455 us    |              }
   1)   2.155 us    |            }
   1)               |            vfs_open() {
   1)               |              do_dentry_open() {
   1)               |                path_get() {
   1)   0.079 us    |                  mntget();
   1)   0.564 us    |                }
   1)   0.056 us    |                try_module_get();
   1)               |                security_file_open() {
   1)   0.060 us    |                  apparmor_file_open();
   1)   0.057 us    |                  __fsnotify_parent();
   1)   0.171 us    |                  fsnotify();
   1)   1.481 us    |                }
   1)               |                ext4_file_open() {
   1)   0.073 us    |                  dget_parent();
   1)               |                  dput() {
   1)   0.046 us    |                    _cond_resched();
   1)   0.453 us    |                  }
   1)               |                  dquot_file_open() {
   1)   0.045 us    |                    generic_file_open();
   1)   0.595 us    |                  }
   1)   2.919 us    |                }
   1)   0.197 us    |                file_ra_state_init();
   1)   7.357 us    |              }
   1)   7.809 us    |            }
   1)   0.060 us    |            open_check_o_direct();
   1)               |            ima_file_check() {
   1)   0.076 us    |              process_measurement();
   1)   0.501 us    |            }
   1)               |            terminate_walk() {
   1)               |              dput() {
   1)   0.055 us    |                _cond_resched();
   1)   0.514 us    |              }
   1)               |              mntput() {
   1)   0.053 us    |                mntput_no_expire();
   1)   0.509 us    |              }
   1)   2.585 us    |            }
   1) + 49.207 us   |          }
   1)   0.085 us    |          restore_nameidata();
   1) + 50.153 us   |        }
   1)   0.044 us    |        __fsnotify_parent();
   1)   0.061 us    |        fsnotify();
   1) + 51.642 us   |      }
